url	http	redirects	final_url	bytes	title	description	og_title	og_image	canonical	robots	h1_count	jsonld
/	200	0		77827	SVIT Vasad — Sardar Vallabhbhai Institute of Technology	AICTE-approved engineering, management and applied sciences programmes on a 15-acre campus in Vasad, Gujarat. 95% placements, modern labs, vibrant campus life.	SVIT Vasad — Institute of Technology	https://agezrfclusigfqysbxwb.supabase.co/storage/v1/object/public/media/logos/svit.png			1	0
/about	200	1	/about/history-vision-mission	46595	History, Vision &amp; Mission — SVIT Vasad	SVIT Vasad&#x27;s history and milestones since 1997, our vision, mission and core values.	About SVIT Vasad	https://agezrfclusigfqysbxwb.supabase.co/storage/v1/object/public/media/logos/svit.png			1	0
/about/accreditation	200	0		73174	Accreditation &amp; Compliance — SVIT Vasad	SVIT Vasad&#x27;s accreditations, approvals, academic regulations, mandatory disclosures and industry MOUs.	About SVIT Vasad	https://agezrfclusigfqysbxwb.supabase.co/storage/v1/object/public/media/logos/svit.png			1	0
/about/board-of-management	200	0		46676	Board of Management — SVIT Vasad	The trustees guiding SVIT Vasad&#x27;s Board of Management.	About SVIT Vasad	https://agezrfclusigfqysbxwb.supabase.co/storage/v1/object/public/media/logos/svit.png			1	0
/about/chairman-message	200	0		45023	Chairman&#x27;s Message — SVIT Vasad	Messages from the Chairman and Principal of SVIT Vasad.	About SVIT Vasad	https://agezrfclusigfqysbxwb.supabase.co/storage/v1/object/public/media/logos/svit.png			1	0
/about/committees	200	0		51422	SVIT Committees — SVIT Vasad	Governance committees at SVIT Vasad: Women Development Cell, Grievance Redressal, IQAC and more.	About SVIT Vasad	https://agezrfclusigfqysbxwb.supabase.co/storage/v1/object/public/media/logos/svit.png			1	0
/about/facilities	200	0		52440	Central Facilities — SVIT Vasad	SVIT Vasad&#x27;s campus facilities: library, scholarships, sports, NSS/NCC, hostels, transport, IT and medical care.	About SVIT Vasad	https://agezrfclusigfqysbxwb.supabase.co/storage/v1/object/public/media/logos/svit.png			1	0
/about/history-vision-mission	200	0		46595	History, Vision &amp; Mission — SVIT Vasad	SVIT Vasad&#x27;s history and milestones since 1997, our vision, mission and core values.	About SVIT Vasad	https://agezrfclusigfqysbxwb.supabase.co/storage/v1/object/public/media/logos/svit.png			1	0
/about/media	200	0		44950	SVIT Media — SVIT Vasad	SVIT Vasad in the news, our publications, campus gallery and social media channels.	About SVIT Vasad	https://agezrfclusigfqysbxwb.supabase.co/storage/v1/object/public/media/logos/svit.png			1	0
/admissions	200	0		41273	Admissions 2026-27 — SVIT Vasad	How to apply, eligibility, fees, scholarships and FAQs for admissions at SVIT Vasad.	SVIT Vasad — Institute of Technology	https://agezrfclusigfqysbxwb.supabase.co/storage/v1/object/public/media/logos/svit.png			1	0
/admissions/inquiry	200	0		37968	Admission Inquiry — SVIT Vasad	Submit an admission enquiry for 2026-27 at SVIT Vasad.	SVIT Vasad — Institute of Technology	https://agezrfclusigfqysbxwb.supabase.co/storage/v1/object/public/media/logos/svit.png			1	0
/admissions/intake-fees	200	0		44507	Intake &amp; Fees 2026-27 — SVIT Vasad	Programme-wise annual intake and tuition fees per semester across all colleges at SVIT Vasad.	SVIT Vasad — Institute of Technology	https://agezrfclusigfqysbxwb.supabase.co/storage/v1/object/public/media/logos/svit.png			1	0
/admissions/scholarships	200	0		27941	Scholarships — SVIT Vasad	Merit, need-based, government and sports scholarships available at SVIT Vasad.	SVIT Vasad — Institute of Technology	https://agezrfclusigfqysbxwb.supabase.co/storage/v1/object/public/media/logos/svit.png			1	0
